"filename", "language", "Makefile", "C", "C++", "comment", "blank", "total"
"/home/andrew/osdev/makefile", "Makefile", 0, 0, 0, 0, -1, -1
"/home/andrew/osdev/src/console/tty.c", "C", 0, 1, 0, 0, 1, 2
"/home/andrew/osdev/src/disk/ata.c", "C", 0, 390, 0, 2, 5, 397
"/home/andrew/osdev/src/disk/mbr.c", "C", 0, 11, 0, 5, 3, 19
"/home/andrew/osdev/src/filesystems/fat.c", "C", 0, 0, 0, 2, 2, 4
"/home/andrew/osdev/src/interrupts/interrupts.c", "C", 0, 0, 0, 1, 0, 1
"/home/andrew/osdev/src/kernel/devices.h", "C", 0, 6, 0, 0, 1, 7
"/home/andrew/osdev/src/kernel/kernel.c", "C", 0, 16, 0, 5, 3, 24
"/home/andrew/osdev/src/memory/paging.c", "C", 0, 1, 0, 1, 2, 4
"/home/andrew/osdev/src/memory/paging.h", "C", 0, 7, 0, 0, 1, 8
"/home/andrew/osdev/src/multitasking/multitasking.c", "C", 0, 0, 0, -1, -1, -2
"/home/andrew/osdev/src/multitasking/multitasking.h", "C", 0, -7, 0, -3, -2, -12
"/home/andrew/osdev/src/time/time.h", "C++", 0, 0, 1, 0, 0, 1
"Total", "-", 0, 425, 1, 12, 14, 452